Id,Process Name,Physical Memory
62823,mdworker_shared,7229440
62663,mdmclient,41127936
62491,mdworker_shared,14082048
62490,mdworker_shared,31891456
62489,mdworker_shared,21721088
62467,com.apple.iCloudHelper,11329536
62298,MTLCompilerService,14995456
62297,MTLCompilerService,11079680
62232,FinderSyncExtension,91045888
62231,FinderSync,35573760
62209,QuickLookUIService,11788288
62208,com.apple.appkit.xpc.openAndSavePanelService,169512960
62102,mdworker_shared,17874944
62101,mdworker_shared,16257024
62073,Electron Helper (Renderer),66781184
62057,processes,78778368
62056,VTDecoderXPCService,21782528
62055,Electron Helper,23826432
62054,Electron Helper (GPU),35667968
62053,Electron,81154048
62052,node,22487040
62051,bash,1126400
62003,mdworker_shared,16035840
61993,bash,1187840
61963,dotnet,85778432
61961,dotnet,148029440
61934,electronize,25202688
54399,remindd,24375296
39649,Code Helper (Renderer),30298112
39542,Microsoft Edge Helper (Renderer),42004480
39240,Microsoft Edge Helper (Renderer),109084672
39238,Microsoft Edge Helper (Renderer),105271296
35717,Code Helper (Renderer),85786624
35716,Code Helper (Renderer),30433280
34824,Microsoft Edge Helper (Renderer),190595072
34459,Microsoft Edge Helper (Renderer),59113472
31561,swcd,9355264
29546,gitstatusd-darwin-x86_64,1265664
29544,zsh,729088
29543,zsh,1064960
28908,zsh,1490944
28904,zsh,8413184
27034,MTLCompilerService,13787136
27033,MTLCompilerService,5910528
26948,rcd,10973184
25123,Code Helper (Renderer),66420736
25111,mono,494866432
25106,bash,1200128
25103,rzls,136204288
25062,Code Helper (Renderer),49119232
25061,node,92127232
25060,Code Helper (Renderer),44290048
25056,Code Helper (Renderer),35737600
25034,Code Helper (Renderer),42418176
25033,Code Helper (Renderer),219922432
25031,Code Helper (Renderer),127291392
24506,Code Helper (Renderer),473653248
24505,Code Helper,27590656
24504,VTDecoderXPCService,17117184
24503,Code Helper (GPU),108761088
24502,chrome_crashpad_handler,3710976
24442,Electron,150069248
17569,OSDUIHelper,15048704
16022,Microsoft Edge Helper (Renderer),456052736
13257,USBAgent,5595136
11840,coreautha,19709952
10821,amsengagementd,20713472
10798,bash,1200128
10017,contactsdonationagent,22020096
8855,avatarsd,43180032
8745,passd,63553536
8687,iCloudNotificationAgent,58277888
7851,AMPArtworkAgent,9080832
7850,com.apple.BKAgentService,7692288
7849,PodcastContentService,6860800
7835,media-indexer,8462336
7485,MailCacheDelete,9895936
7484,IDECacheDeleteAppExtension,79966208
6804,IMAutomaticHistoryDeletionAgent,8564736
6803,transparencyd,9007104
5887,localizationswitcherd,4558848
5483,com.apple.siri.ClientFlow.ClientScripter,10989568
5245,mapspushd,13930496
4921,EscrowSecurityAlert,9129984
3623,MTLCompilerService,12111872
3580,MTLCompilerService,12529664
3472,MTLCompilerService,13275136
3471,MTLCompilerService,5947392
2875,FMIPClientXPCService,4395008
2874,siriknowledged,10317824
2705,storeaccountd,11202560
2703,assistant_service,45686784
2699,com.apple.audio.SandboxHelper,3362816
2680,devicecheckd,2674688
2678,AquaAppearanceHelper,14831616
2083,com.apple.audio.SandboxHelper,3276800
2082,com.apple.speech.speechsynthesisd,26435584
2081,SiriNCService,17444864
2014,mdworker,8368128
1970,Microsoft Edge Helper (Renderer),138792960
1909,Microsoft Edge Helper (Renderer),121147392
1908,Microsoft Edge Helper (Renderer),114655232
1836,Microsoft Edge Helper (Renderer),178434048
1787,Microsoft Edge Helper (Renderer),298557440
1762,Microsoft Edge Helper (Renderer),66457600
